PHASE;SECTION;EPIC;REQUIREMENT NAME;ASSUMPTION;TASK TYPE;EC;BA;SA;BD;FD;CS;QA;CR;PM;Hrs;MD;COST
Refapp - P1 Release Cigars.com;Storefront Implementation;InStore pick up;InStore pickup- Shipping address;;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;InStore pick up;InStore pickup- Shipping method page;;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Storefront Implementation;InStore pick up;InStore pickup- Shipping method page;;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;PDP;Inventory;Availibility, alert message, back to stock;Story;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;Inventory;Assuming standard Site Genesis template;Story;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Data Feeds;Data Feeds;Inventory feed;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Data Feeds;Data Feeds;Inventory feed;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Investigation;Support;Investigation Task;;Story;;;7;;;;;;;56;7;56
JRCigars;Investigation;Support;Investigation Task;;Story;;;2,075;;;;;;;16,6;2,075;16,6
Seriouscigar;Investigation;Support;Investigation Task;;Story;;;1,5325;;;;;;;12,26;1,5325;12,26
SantaClaraCigars;Investigation;Support;Investigation Task;;Story;;;1,37;;;;;;;10,96;1,37;10,96
Seriouscigar;Storefront Implementation;Non product pages ;Invite a friend;Assuming integration with 3rd party loyalty program w/ well documented API;;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Storefront Implementation;Header;Invite Friends;Assuming loyalty program integration completed in Refapp;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;Custom Pages;JR Auctions;Assuming this is will just be linking to current auctions site;Story;;;;0,25;;;0,1;0,0125;0,0625;3,4;0,425;3,4
JRCigars;Storefront Implementation;Custom Pages;JR Blending room;Assuming this will be an aliased WP content;Story;;;;0,25;;;0,1;0,0125;0,0625;3,4;0,425;3,4
JRCigars;Storefront Implementation;Custom Pages;JR Blending room >> What's trending now ;Assume this is a modularized recommendations component for rendering on WP site ;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
JRCigars;Backend Implementation;Backend Implementation;JR Plus membership integration;Assume handling of membership marketing aspects (emails and notifications) will be handled outside of SFCC implementation;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;Non-Product Pages;JR Price Match Guarantee, JR Affiliate Program;Assuming content will be similar to existing pages;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Landing page;;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Landing page;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Left Navigation- registered;Overview,  Personal Data, Addresses, Payment setting, Wishlist, Orders information, Gift registries, Shop confidently;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Left Navigation- registered;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Left Navigation- unregistered;Account setting links, Ship confidently, Account navigation content;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Left Navigation- unregistered;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Prestart Activities;SRA;Load Testing Support;m;Story;;;;2;1;;;;1;32;4;32
Refapp - P1 Release Cigars.com;Site Readiness Assessment;SRA;Load Testing Support;;Story;;;;2;1;;;;1;32;4;32
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Login- track Order ;;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Login- track Order ;Assume API integration with current shipping provider(s);Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Login/register;Sign up/sign in;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Login/register;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Header;Login/register window;login/register, social media, specials,  offers, emails ;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Header;Login/register window;Assume content will be similar to existing site;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Loyalty Progam;Assume integration with well documented 3rd party API;;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;SEO;SEO;Map Legacy URLs to New URLs using 301 redirects;;Story;;;;0,5;;3;0,2;0,025;0,125;30,8;3,85;30,8
New Country;SEO;SEO;Map Legacy URLs to New URLs using 301 redirects;;Story;;;;;;1;;;;8;1;8
New Brand;SEO;SEO;Map Legacy URLs to New URLs using 301 redirects;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
New Language;SEO;SEO;Map Legacy URLs to New URLs using 301 redirects;;Story;;;;;;0,25;;;;2;0,25;2
Refapp - P1 Release Cigars.com;SEO;SEO;Map Legacy URLs to New URLs using 301 redirects;;Story;;;;0,5;;3;0,2;0,025;0,125;30,8;3,85;30,8
JRCigars;SEO;SEO;Map Legacy URLs to New URLs using 301 redirects;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
Seriouscigar;SEO;SEO;Map Legacy URLs to New URLs using 301 redirects;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
SantaClaraCigars;SEO;SEO;Map Legacy URLs to New URLs using 301 redirects;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
Refapp - Phase 1 Release;Storefront Implementation;Minicart ;Minicart ;Desktop only;Story;;;;1;0,75;;0,7;0,0875;0,4375;23,8;2,975;23,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Minicart ;Minicart ;Assuming standard Site Genesis template;Story;;;;1;0,75;;0,7;0,0875;0,4375;23,8;2,975;23,8
Seriouscigar;Storefront Implementation;My Account ;My Humidor (add and then view the list - kind of like wishlist  but private);;;;;;1;0,5;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;My Profile Page - Expert;Assume manufacturer articles are provided by client into Content Asset library;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Newsletter;Assume building integration with existing marketing campaign source;;;;;1,5;;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - Phase 1 Release;Storefront Implementation;Search Results;No search results page;;Story;;;;0,5;1,25;;0,7;0,0875;0,4375;23,8;2,975;23,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Search Results;No search results page;Assuming standard Site Genesis template;Story;;;;0,5;1,25;;0,7;0,0875;0,4375;23,8;2,975;23,8
Seriouscigar;Storefront Implementation;My Account ;Notify me (related to back in stock);Assume OSF-licensed BIS cartridge;;;;;0,15;0,5;;0,26;0,0325;0,1625;8,84;1,105;8,84
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;OMS Integration;Assume OSF-licensed OMS Lite Cartridge;;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Order details;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Order details;Assuming standard Site Genesis template;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Data Feeds;Data Feeds;Order Export;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Data Feeds;Data Feeds;Order Export;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Order History;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Order History;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
